Num,Value
0,0.82
1,0.7
2,0.455
3,0.5
4,0.545
5,0.71
6,1.495
7,2.6
8,3.62
9,4.675
10,4.64
11,4.3
12,4.625
13,4.69
14,4.495
15,4.505
16,4.77
17,4.145
18,3.28
19,3.53
20,3.85
21,3.4
22,2.94
23,2.395
24,2.235
25,2.12
26,1.975
27,1.925
28,1.995
29,2.025
30,2.835
31,4.13
32,5.165
33,6.455
34,6.505
35,6.145
36,5.85
37,5.655
38,6.31
39,6.34
40,6.21
41,5.655
42,5.155
43,5.215
44,5.555
45,5.09
46,4.545
47,4.26
48,3.825
49,3.555
50,3.365
51,3.34
52,3.475
53,3.63
54,4.535
55,6.15
56,7.11
57,8.725
58,8.875
59,8.44
60,7.58
61,8.285
62,8.55
63,7.435
64,7.34
65,7.71
66,6.89
67,7.005
68,6.995
69,6.76
70,6.25
71,5.725
72,5.41
73,5.135
74,4.98
75,4.915
76,4.845
77,5.115
78,6.075
79,7.865
80,8.845
81,8.62
82,4.955
83,5.015
84,6.34
85,10.145
86,9.865
87,9.405
88,9.52
89,7.565
90,7.305
91,8.46
92,8.385
93,7.87
94,7.55
95,6.955
96,6.78
97,6.435
98,6.26
99,6.2
100,6.265
101,6.585
102,9.055
103,13.035
104,10.635
105,11.465
106,10.92
107,10.74
108,10.86
109,11.035
110,11.46
111,11.945
112,12.08
113,11.87
114,9.645
115,10.36
116,9.83
117,9.73
118,8.965
119,8.535
120,8.085
121,7.875
122,7.74
123,7.635
124,7.655
125,8.005
126,10.065
127,14.15
128,12.68
129,13.345
130,12.865
131,12.5
132,12.525
133,13.29
134,13.115
135,13.54
136,13.63
137,15.83
138,14.575
139,12.6
140,12.715
141,12.16
142,10.995
143,10.185
144,9.725
145,9.46
146,9.14
147,9.15
148,9.21
149,9.42
150,10.98
151,15.6
152,14.54
153,14.54
154,14.04
155,14.13
156,13.88
157,14.2
158,14.65
159,14.785
160,15.395
161,16.025
162,13.83
163,13.73
164,14.06
165,13.54
166,12.59
167,11.885
168,11.275
169,11.075
170,10.865
171,10.715
172,10.705
173,10.835
174,11.51
175,13.135
176,14.605
177,15.93
178,16.315
179,15.735
180,15.73
181,15.985
182,16.21
183,13.17
184,14.025
185,15.795
186,14.825
187,14.855
188,14.885
189,14.59
190,13.655
191,12.855
192,12.545
193,12.225
194,11.995
195,12.005
196,12.02
197,12.515
198,15.06
199,18.45
200,16.87
201,18.07
202,17.315
203,16.65
204,16.9
205,17.135
206,17.125
207,16.07
208,17.14
209,20.285
210,18.365
211,17.11
212,16.785
213,16.355
214,15.435
215,14.42
216,13.895
217,13.795
218,13.55
219,13.48
220,13.465
221,13.695
222,15.985
223,19.935
224,18.715
225,19.665
226,18.71
227,18.225
228,18.215
229,18.475
230,19.05
231,18.095
232,18.455
233,21.27
234,19.44
235,18.3
236,18.425
237,18.17
238,16.755
239,16.03
240,15.535
241,15.175
242,14.965
243,14.92
244,14.965
245,15.265
246,17.53
247,21.295
248,20.05
249,20.99
250,20.125
251,20.025
252,19.965
253,20.385
254,20.44
255,20.59
256,20.96
257,22.885
258,21.405
259,20.185
260,20.02
261,19.735
262,18.475
263,17.425
264,16.935
265,16.62
266,16.35
267,16.4
268,16.415
269,16.66
270,18.73
271,22.86
272,21.565
273,21.965
274,21.565
275,21.55
276,21.525
277,21.52
278,20.835
279,20.23
280,22.175
281,24.08
282,22.305
283,21.08
284,21.44
285,21.06
286,19.83
287,18.945
288,18.55
289,18.08
290,17.805
291,17.835
292,17.865
293,18.12
294,20.32
295,24.19
296,23.21
297,23.76
298,23.23
299,23.155
300,22.715
301,23.48
302,23.64
303,23.55
304,23.94
305,25.475
306,24.26
307,22.885
308,22.92
309,22.455
310,21.535
311,20.685
312,20.055
313,19.73
314,19.535
315,19.32
316,19.335
317,19.535
318,20.715
319,23.355
320,24.64
321,25.82
322,25.185
323,21.065
324,24.385
325,24.55
326,24.28
327,20.52
328,22.275
329,25.025
330,23.675
331,23.39
332,23.89
333,23.23
334,22.485
335,21.88
336,21.285
337,21.05
338,20.775
339,20.73
340,20.765
341,20.975
342,21.75
343,23.695
344,25.145
345,26.165
346,26.625
347,25.87
