Num,Value
0,1.6
1,1.655
2,1.2
3,1.075
4,1.785
5,2.69
6,3.725
7,5.455
8,6.54
9,7.02
10,5.97
11,6.505
12,7.2
13,6.965
14,6.925
15,7.025
16,6.805
17,6.26
18,5.94
19,6.645
20,5.995
21,5.405
22,4.45
23,3.355
24,3.12
25,2.93
26,2.595
27,2.585
28,3.065
29,3.83
30,5.49
31,7.49
32,8.31
33,8.955
34,7.595
35,8.28
36,8.69
37,8.315
38,8.505
39,8.58
40,7.695
41,8.225
42,7.47
43,7.35
44,6.945
45,6.95
46,5.93
47,5.035
48,4.695
49,4.45
50,4.165
51,4.12
52,4.66
53,5.65
54,6.825
55,8.74
56,9.395
57,10.775
58,10.325
59,9.855
60,10.315
61,9.895
62,10.165
63,9.685
64,9.365
65,9.535
66,7.905
67,9.34
68,8.83
69,8.52
70,7.625
71,6.425
72,6.245
73,6.215
74,6.01
75,5.815
76,6.435
77,7.165
78,8.9
79,11.33
80,11.62
81,12.06
82,10.875
83,10.97
84,10.88
85,12.25
86,11.71
87,11.19
88,10.875
89,11.19
90,10.365
91,10.51
92,9.91
93,9.36
94,8.78
95,7.78
96,7.56
97,7.53
98,7.015
99,6.905
100,7.535
101,9.145
102,11.94
103,14.42
104,13.945
105,12.82
106,13.38
107,12.66
108,12.535
109,13.095
110,13.18
111,13.13
112,12.74
113,11.99
114,10.42
115,11.46
116,11.155
117,10.61
118,9.79
119,9.025
120,8.965
121,8.655
122,8.495
123,8.295
124,9.19
125,10.27
126,13.115
127,16.215
128,15.385
129,15.125
130,14.975
131,14.21
132,14.115
133,15.365
134,14.995
135,15.19
136,14.075
137,14.03
138,13.885
139,13.395
140,13.335
141,12.95
142,11.655
143,10.65
144,10.465
145,10.455
146,9.755
147,9.87
148,10.505
149,11.59
150,13.68
151,16.605
152,16.83
153,16.725
154,15.73
155,15.715
156,15.595
157,16.46
158,16.3
159,16.32
160,15.805
161,15.76
162,14.87
163,14.7
164,15.135
165,14.33
166,13.51
167,12.325
168,12.13
169,12.125
170,11.605
171,11.265
172,12.115
173,12.59
174,13.72
175,15.61
176,16.05
177,17.095
178,16.72
179,16.375
180,16.815
181,16.88
182,17.665
183,16.835
184,16.645
185,16.57
186,16.43
187,16.81
188,16.215
189,15.88
190,14.53
191,13.435
192,13.33
193,13.13
194,12.725
195,12.63
196,13.165
197,15.35
198,17.57
199,20.53
200,19.72
201,17.365
202,19.325
203,18.77
204,18.545
205,19.695
206,19.33
207,18.84
208,18.59
209,17.935
210,17.91
211,17.085
212,17.115
213,17.15
214,16.29
215,14.84
216,14.705
217,14.445
218,14.025
219,13.94
220,14.85
221,16.345
222,18.97
223,21.765
224,21.085
225,20.435
226,20.615
227,20.09
228,19.98
229,20.67
230,20.86
231,21.185
232,20.375
233,19.875
234,19.415
235,19.005
236,18.905
237,18.655
238,17.63
239,16.615
240,16.22
241,16.025
242,15.465
243,15.455
244,16.325
245,17.705
246,20.395
247,23.135
248,22.74
249,22.8
250,21.895
251,21.635
252,21.355
253,22.275
254,22.515
255,22.11
256,21.9
257,21.015
258,20.77
259,20.73
260,20.235
261,19.995
262,19.185
263,17.945
264,17.74
265,17.38
266,16.81
267,16.94
268,17.785
269,18.955
270,21.58
271,24.225
272,24.475
273,24.04
274,22.855
275,23.04
276,22.42
277,22.81
278,23.785
279,23.825
280,23.67
281,22.7
282,22.43
283,22.465
284,21.93
285,21.8
286,20.92
287,19.58
288,19.23
289,19.16
290,18.48
291,18.495
292,19.23
293,20.75
294,23.26
295,25.945
296,24.945
297,24.275
298,24.9
299,24.595
300,24.67
301,25.32
302,25.28
303,24.895
304,23.835
305,23.66
306,24.0
307,23.865
308,24.175
309,24.005
310,22.35
311,21.575
312,21.215
313,20.775
314,20.175
315,20.105
316,20.745
317,21.765
318,23.325
319,25.265
320,25.89
321,25.76
322,25.08
323,25.135
324,25.82
325,25.955
326,25.485
327,25.66
328,24.87
329,25.185
330,25.775
331,25.46
332,25.05
333,24.93
334,23.895
335,22.59
336,22.405
337,21.865
338,21.435
339,21.31
340,21.86
341,22.545
342,24.01
343,25.745
344,27.445
345,27.275
346,26.45
347,27.1
348,27.26
349,27.025
350,26.865
351,26.855
352,26.35
353,26.735
354,27.235
355,27.005
356,26.7
357,26.515
358,24.89
359,23.945
360,23.235
361,23.24
362,22.655
363,22.635
364,23.37
365,25.47
366,27.905
367,30.485
368,29.095
369,28.43
370,29.365
371,28.47
372,28.57
373,29.39
374,29.175
375,29.395
376,29.055
377,28.285
378,27.6
379,28.12
380,27.7
381,26.785
382,26.145
383,25.265
384,24.805
385,24.515
386,24.09
387,24.03
388,24.815
389,26.185
390,28.985
391,31.68
392,31.48
393,30.915
394,30.83
395,30.48
396,29.755
397,29.83
398,29.88
399,30.44
400,30.61
401,30.085
402,29.565
403,29.6
404,28.995
405,28.89
406,27.965
407,26.65
408,26.455
409,26.135
410,25.615
411,25.54
412,26.205
413,27.62
414,30.395
415,33.27
416,32.755
417,32.145
418,31.795
419,31.48
420,31.29
421,32.27
422,32.225
423,32.335
424,31.78
425,31.27
426,31.725
427,31.025
428,30.68
429,30.315
430,29.255
431,28.24
432,27.88
433,27.42
434,27.295
435,27.04
436,27.765
437,28.915
438,31.73
439,34.82
440,34.195
441,34.05
442,32.955
443,33.245
444,32.665
445,33.47
446,34.47
447,32.835
448,27.15
449,26.975
450,27.035
451,27.095
452,27.155
453,27.215
454,27.275
455,27.335
456,28.445
457,27.455
458,27.515
459,27.575
460,27.635
461,27.695
462,27.755
463,27.815
464,27.875
465,27.935
466,27.995
467,28.055
468,28.115
469,28.175
470,28.235
471,28.295
472,28.355
473,28.415
474,28.475
475,28.535
476,28.595
477,28.655
478,28.715
479,28.775
480,30.9
481,30.8
482,30.215
483,30.055
484,30.77
485,31.99
486,33.245
487,35.215
488,36.24
489,36.56
490,35.255
491,35.465
492,35.905
493,35.885
494,35.83
495,36.04
496,35.105
497,35.235
498,35.445
499,34.885
500,35.21
501,34.84
502,33.69
503,32.84
504,32.33
505,31.875
506,31.675
507,31.31
508,32.02
509,32.775
510,33.57
511,35.57
512,37.3
513,37.84
514,36.715
515,37.105
516,37.805
517,37.105
518,37.115
519,36.66
520,36.09
521,37.015
522,37.44
523,37.06
524,36.74
525,36.02
526,34.89
527,33.845
528,33.32
529,33.215
530,32.48
531,32.685
532,33.33
533,35.4
534,37.6
535,40.575
536,40.035
537,39.595
538,39.25
539,38.73
540,38.41
541,39.09
542,39.4
543,39.555
544,38.965
545,38.075
546,37.825
547,38.185
548,37.835
549,37.51
550,36.54
551,35.225
552,34.875
553,34.545
554,34.15
555,34.165
556,34.74
557,36.12
558,38.445
559,42.055
560,41.555
561,40.715
562,40.77
563,40.7
564,40.085
565,41.19
566,41.31
567,40.72
568,40.31
569,39.99
570,39.7
571,39.71
572,39.095
573,38.655
574,37.76
575,36.405
576,36.185
577,35.955
578,35.655
579,35.62
580,36.4
581,37.815
582,40.285
583,43.26
584,43.005
585,41.745
586,42.175
587,41.885
588,41.465
589,42.365
590,42.92
591,42.3
592,41.94
593,41.295
594,41.1
595,41.04
596,40.21
597,40.48
598,39.005
599,37.93
600,37.735
601,37.31
602,36.965
603,37.125
604,37.895
605,38.915
606,41.375
607,44.54
608,44.36
609,43.035
610,43.195
611,43.58
612,43.225
613,43.35
614,43.67
615,43.78
616,43.34
617,42.205
618,41.69
619,41.815
620,41.99
621,41.91
622,40.72
623,39.245
624,39.12
625,38.78
626,38.455
627,38.42
628,39.275
629,40.515
630,42.845
631,46.015
632,46.145
633,45.695
634,45.2
635,44.88
636,44.895
637,45.94
638,45.685
639,45.405
640,45.31
641,43.955
642,44.055
643,44.32
644,44.09
645,43.25
646,42.62
647,41.525
648,40.645
649,40.925
650,40.08
651,40.105
652,41.19
653,41.69
654,43.3
655,45.3
656,46.08
657,45.57
658,45.185
659,46.135
660,46.14
661,45.98
662,45.895
663,45.625
664,45.215
665,45.105
666,45.64
667,45.1
668,44.93
669,44.515
670,43.525
671,42.675
672,42.07
673,41.96
674,41.37
675,41.39
676,41.965
677,42.68
678,43.525
679,44.77
680,45.71
681,46.965
682,46.185
683,46.09
684,45.94
685,46.725
686,46.45
687,46.85
688,46.295
689,46.605
690,46.27
691,46.605
692,45.745
693,45.24
694,44.45
695,43.655
696,43.085
697,43.035
698,42.685
699,42.74
700,43.415
701,45.095
702,47.02
703,49.07
704,49.035
705,48.7
706,48.435
707,48.235
708,47.79
709,48.9
710,48.915
711,48.7
712,48.38
713,47.59
714,47.85
715,47.595
716,46.91
717,46.81
718,45.54
719,44.81
720,44.7
721,44.52
722,44.075
723,44.085
724,44.94
725,45.83
726,48.605
727,51.045
728,50.865
729,50.11
730,50.325
731,49.75
732,49.095
733,50.195
734,50.16
735,48.565
736,47.015
737,49.16
738,48.69
739,45.945
740,48.515
741,48.235
742,47.53
743,46.225
744,46.195
745,46.02
