Num,Value
0,0.035
1,0.095
2,0.155
3,0.215
4,0.295
5,0.365
6,0.67
7,2.79
8,6.155
9,7.155
10,5.515
11,2.66
12,2.64
13,0.825
14,0.875
15,0.935
16,1.335
17,1.37
18,1.525
19,1.59
20,1.235
21,1.295
22,1.36
23,1.415
24,1.48
25,1.535
26,1.595
27,1.655
28,1.775
29,1.87
30,2.02
31,2.415
32,2.14
33,3.045
34,2.14
35,2.14
36,2.79
37,6.45
38,6.175
39,4.305
40,3.395
41,3.04
42,3.56
43,3.16
44,2.685
45,2.745
46,2.795
47,2.855
48,2.915
49,2.975
50,3.035
51,3.095
52,3.17
53,3.27
54,3.495
55,4.21
56,5.02
57,11.32
58,13.445
59,11.26
60,9.72
61,8.11
62,7.04
63,3.905
64,4.72
65,3.98
66,4.585
67,4.305
68,4.115
69,4.175
70,4.235
71,4.295
72,4.355
73,4.415
74,4.475
75,4.535
76,4.635
77,4.775
78,4.995
79,6.27
80,7.06
81,11.415
82,11.705
83,10.01
84,13.075
85,13.17
86,10.565
87,9.15
88,6.895
89,5.61
90,5.46
91,5.555
92,5.555
93,5.62
94,5.675
95,5.735
96,5.795
97,5.855
98,5.915
99,5.975
100,6.065
101,6.13
102,6.74
103,9.055
104,10.46
105,8.5
106,9.3
107,10.93
108,10.845
109,9.465
110,10.345
111,9.325
112,7.89
113,6.96
114,7.9
115,7.405
116,6.995
117,7.075
118,7.115
119,7.175
120,7.235
121,7.295
122,7.355
123,7.415
124,7.53
125,7.59
126,8.965
127,12.97
128,13.015
129,16.87
130,18.24
131,18.0
132,20.925
133,27.865
134,31.575
135,30.49
136,19.705
137,8.655
138,8.315
139,8.375
140,8.435
141,8.495
142,8.555
143,8.615
144,8.675
145,8.735
146,8.795
147,8.855
148,8.985
149,9.135
150,9.515
151,14.815
152,17.24
153,24.355
154,22.46
155,20.18
156,23.24
157,28.335
158,30.225
159,30.005
160,22.44
161,12.85
162,9.755
163,9.815
164,9.875
165,9.935
166,9.995
167,10.055
168,10.115
169,10.175
170,10.235
171,10.295
172,10.495
173,10.825
174,10.71
175,14.105
176,17.545
177,17.655
178,17.485
179,17.6
180,22.125
181,25.74
182,31.77
183,29.555
184,29.45
185,14.565
186,11.195
187,11.265
188,11.315
189,11.375
190,11.435
191,11.495
192,11.555
193,11.615
194,11.675
195,11.735
196,11.795
197,11.855
198,11.915
199,11.975
200,12.035
201,18.64
202,19.27
203,20.14
204,26.305
205,31.055
206,33.585
207,35.58
208,33.665
209,15.9
210,13.48
211,13.03
212,12.755
213,12.815
214,12.875
215,12.935
216,13.04
217,13.115
218,13.19
219,13.21
220,13.315
221,13.44
222,13.955
223,18.08
224,20.495
225,20.85
226,20.31
227,18.94
228,26.615
229,32.575
230,31.455
231,30.525
232,30.245
233,15.61
234,14.08
235,14.135
236,14.195
237,14.255
238,14.315
239,14.375
240,14.435
241,14.495
242,14.555
243,14.615
244,14.81
245,15.02
246,15.495
247,18.85
248,21.42
249,30.76
250,22.705
251,24.685
252,29.155
253,34.39
254,34.425
255,35.57
256,29.6
257,16.17
258,15.515
259,15.575
260,15.635
261,15.695
262,15.755
263,15.815
264,15.875
265,15.935
266,15.995
267,16.055
268,16.115
269,16.175
