Num,Value
0,0.075
1,0.095
2,0.155
3,0.215
4,0.275
5,0.335
6,0.395
7,0.455
8,0.515
9,0.575
10,0.635
11,0.695
12,0.755
13,0.815
14,0.875
15,0.935
16,0.995
17,1.055
18,1.115
19,1.175
20,1.235
21,1.295
22,1.355
23,1.415
24,1.475
25,1.535
26,1.595
27,1.655
28,1.715
29,1.775
30,1.835
31,1.895
32,1.955
33,2.015
34,2.075
35,2.135
36,2.195
37,2.255
38,2.315
39,2.375
40,2.435
41,2.495
42,2.555
43,2.615
44,2.675
45,2.735
46,2.795
47,2.855
48,2.915
49,2.975
50,3.035
51,3.095
52,3.155
53,3.215
54,3.275
55,3.335
56,3.395
57,3.455
58,3.515
59,3.575
60,3.635
61,3.695
62,3.755
63,3.815
64,3.875
65,3.935
66,3.995
67,4.055
68,4.115
69,4.175
70,4.235
71,4.295
72,4.355
73,4.415
74,4.475
75,4.535
76,4.595
77,4.655
78,4.715
79,4.775
80,4.835
81,4.895
82,4.955
83,5.015
84,5.075
85,5.135
86,5.195
87,5.255
88,5.315
89,5.375
90,5.435
91,5.495
92,5.555
93,5.615
94,5.675
95,5.735
96,5.795
97,5.855
98,5.915
99,5.975
100,6.035
101,6.095
102,6.155
103,6.215
104,6.275
105,6.335
106,6.395
107,6.455
108,6.515
109,6.575
110,6.635
111,6.695
112,6.755
113,6.815
114,6.875
115,6.935
116,6.995
117,7.055
118,7.115
119,7.175
120,7.235
121,7.295
122,7.355
123,7.415
124,7.475
125,7.535
126,7.595
127,7.655
128,7.715
129,7.775
130,7.835
131,7.895
132,7.955
133,8.015
134,8.075
135,8.135
136,8.195
137,8.255
138,8.315
139,8.375
140,8.435
141,8.495
142,8.555
143,8.615
144,8.675
145,8.735
146,8.795
147,8.855
148,8.915
149,8.975
150,9.035
151,9.095
152,9.155
153,9.215
154,9.275
155,9.335
156,9.395
157,9.455
158,9.515
159,9.575
160,9.635
161,9.695
162,9.755
163,9.815
164,9.875
165,9.935
166,9.995
167,10.055
168,10.115
169,10.175
170,10.235
171,10.295
172,10.355
173,10.415
174,10.475
175,10.535
176,10.595
177,10.655
178,10.715
179,10.775
180,10.835
181,10.895
182,10.955
183,11.015
184,11.075
185,11.135
186,11.195
187,11.255
188,11.315
189,11.375
190,11.435
191,11.495
192,11.555
193,11.615
194,11.675
195,11.735
196,11.795
197,11.855
198,11.915
199,11.975
200,12.035
201,12.095
202,12.155
203,12.215
204,12.275
205,12.335
206,12.395
207,12.455
208,12.515
209,12.575
210,12.635
211,12.695
212,12.755
213,12.815
214,12.875
215,12.935
216,12.995
217,13.055
218,13.115
219,13.175
220,13.235
221,13.295
222,13.355
223,13.415
224,13.475
225,13.535
