Num,Value
0,0.24
1,0.26
2,0.24
3,0.31
4,0.37
5,0.525
6,0.87
7,1.81
8,2.225
9,2.72
10,2.275
11,2.06
12,2.375
13,4.15
14,4.03
15,5.245
16,4.6
17,4.85
18,4.11
19,3.78
20,2.965
21,2.095
22,1.89
23,1.675
24,1.745
25,1.665
26,1.675
27,1.71
28,1.775
29,1.93
30,2.44
31,3.37
32,4.19
33,4.3
34,4.365
35,4.555
36,4.96
37,6.775
38,6.775
39,5.805
40,6.67
41,7.09
42,5.01
43,3.975
44,6.6
45,3.72
46,3.22
47,3.125
48,3.095
49,3.095
50,3.12
51,3.185
52,3.23
53,3.355
54,3.82
55,4.94
56,6.295
57,5.655
58,5.51
59,5.595
60,5.635
61,7.21
62,8.48
63,8.29
64,8.93
65,9.03
66,6.17
67,5.35
68,5.445
69,5.105
70,4.795
71,4.605
72,4.63
73,4.53
74,4.605
75,4.66
76,4.69
77,4.805
78,5.27
79,6.57
80,7.84
81,9.235
82,8.04
83,7.15
84,9.4
85,9.275
86,10.02
87,10.56
88,10.155
89,8.515
90,7.155
91,7.01
92,6.565
93,6.6
94,6.195
95,6.065
96,6.03
97,5.975
98,6.035
99,6.03
100,6.1
101,6.305
102,7.66
103,13.24
104,14.695
105,11.55
106,8.29
107,7.865
108,8.065
109,8.665
110,8.43
111,8.515
112,8.975
113,11.17
114,11.555
115,8.705
116,8.03
117,7.95
118,7.77
119,7.515
120,7.415
121,7.405
122,7.45
123,7.48
124,7.545
125,7.735
126,8.765
127,13.35
128,15.86
129,12.59
130,9.755
131,9.55
132,9.55
133,10.11
134,9.925
135,10.11
136,10.57
137,11.345
138,10.41
139,9.76
140,9.53
141,9.59
142,9.235
143,8.96
144,8.96
145,8.845
146,8.875
147,8.935
148,8.99
149,9.18
150,10.04
151,15.005
152,16.985
153,14.58
154,11.3
155,11.01
156,10.995
157,11.48
158,11.5
159,12.18
160,12.945
161,14.54
162,13.93
163,14.775
164,10.91
165,11.05
166,10.7
167,10.42
168,10.405
169,10.355
170,10.38
171,10.425
172,10.445
173,10.63
174,11.0
175,12.12
176,12.85
177,13.535
178,13.025
179,12.685
180,12.76
181,13.01
182,13.08
183,14.46
184,16.995
185,16.235
186,13.435
187,12.655
188,12.41
189,12.42
190,12.105
191,11.795
192,11.775
193,11.705
194,11.79
195,11.805
196,11.89
197,12.075
198,13.605
199,19.635
200,20.765
201,17.12
202,14.245
203,13.765
204,13.975
205,14.205
206,14.19
207,14.32
208,14.85
209,15.72
210,14.375
211,13.965
212,13.86
213,13.94
214,13.64
215,13.375
216,13.195
217,13.155
218,13.245
219,13.25
220,13.355
221,13.51
222,14.66
223,19.22
224,21.61
225,18.585
226,15.57
227,15.22
228,15.335
229,16.02
230,15.45
231,15.8
232,16.275
233,17.27
234,15.93
235,15.475
236,15.43
237,15.37
238,14.845
239,14.49
240,14.505
241,14.515
242,14.705
243,14.695
244,14.82
245,14.955
246,15.96
247,20.625
248,22.395
249,20.5
250,17.425
251,16.77
252,16.885
253,17.225
254,17.065
255,18.265
256,17.96
257,19.375
258,17.93
259,17.02
260,16.89
261,16.87
262,16.345
263,16.175
264,16.12
265,16.015
266,16.11
267,16.125
268,16.19
269,16.32
270,17.535
271,22.08
272,24.84
273,21.31
274,18.565
275,18.185
276,18.395
277,20.165
278,20.38
279,18.775
280,19.01
281,22.455
282,22.055
283,18.585
284,18.335
285,18.32
286,17.95
287,17.745
288,17.49
289,17.485
290,17.525
291,17.615
292,17.625
293,17.81
294,18.915
295,23.555
296,26.295
297,24.31
298,19.905
299,19.485
300,19.845
301,20.365
302,20.62
303,23.46
304,23.265
305,23.705
306,21.91
307,21.25
308,19.56
309,19.815
310,19.43
311,19.185
312,18.935
313,18.955
314,18.955
315,19.075
316,19.06
317,19.24
318,19.855
319,21.475
320,23.35
321,23.705
322,22.245
323,21.415
324,21.435
325,21.725
326,23.04
327,23.865
328,25.03
329,25.87
330,21.625
331,21.24
332,21.265
333,20.975
334,20.705
335,20.52
336,20.425
337,20.48
338,20.435
339,20.445
340,20.495
341,20.715
342,21.085
343,22.25
344,23.255
345,23.06
346,23.55
347,22.97
348,22.73
349,24.115
350,26.325
351,26.78
352,26.74
353,26.97
354,25.36
355,24.14
356,24.525
357,22.975
358,22.16
359,21.91
360,21.81
361,21.86
362,21.825
363,21.915
364,21.96
365,22.125
366,23.545
367,29.535
368,30.56
369,27.58
370,24.19
371,23.865
372,23.92
373,24.33
374,24.24
375,24.475
376,24.86
377,25.625
378,24.725
379,24.1
380,24.005
381,23.845
382,23.56
383,23.335
384,23.255
385,23.225
386,23.265
387,23.32
388,23.415
389,23.565
390,24.62
391,29.625
392,32.12
393,29.115
394,25.54
395,25.15
396,25.335
397,25.88
398,25.515
399,25.745
400,26.38
401,27.345
402,26.08
403,25.57
404,25.325
405,25.455
406,25.065
407,24.79
408,24.78
409,24.705
410,24.72
411,24.78
412,24.845
413,24.975
414,25.99
415,30.845
416,33.43
417,30.015
418,27.08
419,26.6
420,26.76
421,27.345
422,27.025
423,27.205
424,27.805
425,28.985
426,27.5
427,27.11
428,27.015
429,26.985
430,26.59
431,26.265
432,26.155
433,26.18
434,26.165
435,26.23
436,26.275
437,26.435
438,27.51
439,32.86
440,34.895
441,31.905
442,28.59
443,28.25
444,28.255
445,28.68
446,28.6
447,28.535
448,26.97
449,26.975
450,27.035
451,27.095
452,27.155
453,27.215
454,27.275
455,27.335
456,27.525
457,27.455
458,27.515
459,27.575
460,27.635
461,27.695
462,27.755
463,27.815
464,27.875
465,27.935
466,27.995
467,28.055
468,28.115
469,28.175
470,28.235
471,28.295
472,28.355
473,28.415
474,28.475
475,28.535
476,28.595
477,28.655
478,28.715
479,28.775
480,29.105
481,29.065
482,29.04
483,29.11
484,29.16
485,29.275
486,29.92
487,31.665
488,35.09
489,33.795
490,32.63
491,31.54
492,31.69
493,33.19
494,32.4
495,33.885
496,35.3
497,35.785
498,33.765
499,31.21
500,31.245
501,31.05
502,30.795
503,30.545
504,30.535
505,30.525
506,30.455
507,30.525
508,30.615
509,30.785
510,31.14
511,32.355
512,33.21
513,33.495
514,34.74
515,34.345
516,33.65
517,34.855
518,35.735
519,36.505
520,36.175
521,36.685
522,35.265
523,34.085
524,32.83
525,32.645
526,32.165
527,32.005
528,31.88
529,31.895
530,31.9
531,31.985
532,32.06
533,32.24
534,33.85
535,39.52
536,40.98
537,38.525
538,34.19
539,33.675
540,34.035
541,37.365
542,34.5
543,34.385
544,34.815
545,36.345
546,34.6
547,34.185
548,33.995
549,34.135
550,33.84
551,33.47
552,33.34
553,33.335
554,33.34
555,33.41
556,33.5
557,33.66
558,34.705
559,39.785
560,41.985
561,40.21
562,36.84
563,35.315
564,35.48
565,35.985
566,35.625
567,36.015
568,36.565
569,37.585
570,36.02
571,35.685
572,35.5
573,35.455
574,35.2
575,34.965
576,34.815
577,34.755
578,34.81
579,34.855
580,34.925
581,35.1
582,36.215
583,41.375
584,43.56
585,41.82
586,37.665
587,36.785
588,36.96
589,37.81
590,37.36
591,37.56
592,38.71
593,39.795
594,37.42
595,37.155
596,37.065
597,36.875
598,36.66
599,36.385
600,36.255
601,36.215
602,36.275
603,36.28
604,36.395
605,36.585
606,37.54
607,42.595
608,45.07
609,43.08
610,39.73
611,38.475
612,38.31
613,38.79
614,38.79
615,40.165
616,39.63
617,41.075
618,39.02
619,38.575
620,38.64
621,38.59
622,38.34
623,37.79
624,37.735
625,37.655
626,37.665
627,37.725
628,37.8
629,38.005
630,38.92
631,43.585
632,45.965
633,45.06
634,40.32
635,39.775
636,39.955
637,41.355
638,41.155
639,42.47
640,41.26
641,41.665
642,40.32
643,40.115
644,40.09
645,39.965
646,39.655
647,39.305
648,39.11
649,39.1
650,39.12
651,39.19
652,39.29
653,39.385
654,39.7
655,41.455
656,44.135
657,44.005
658,44.43
659,41.575
660,41.77
661,42.2
662,43.755
663,45.27
664,43.425
665,44.785
666,42.535
667,41.41
668,41.27
669,41.05
670,40.9
671,40.655
672,40.49
673,40.55
674,40.555
675,40.615
676,40.69
677,40.82
678,41.11
679,42.06
680,42.625
681,42.975
682,44.025
683,42.73
684,43.04
685,44.235
686,45.88
687,45.13
688,44.805
689,45.57
690,45.245
691,43.14
692,42.56
693,42.455
694,42.11
695,41.985
696,41.995
697,41.945
698,41.975
699,42.05
700,42.09
701,42.31
702,43.36
703,48.48
704,49.675
705,47.945
706,44.79
707,43.86
708,43.98
709,44.365
710,44.285
711,44.45
712,44.83
713,45.74
714,44.305
715,44.18
716,44.175
717,44.265
718,43.825
719,43.56
720,43.38
721,43.405
722,43.465
723,43.495
724,43.595
725,43.68
726,44.585
727,48.47
728,51.465
729,49.23
730,45.59
731,45.355
732,45.59
733,45.905
734,45.76
735,45.805
736,46.52
737,47.66
738,45.97
739,45.47
740,45.455
741,45.665
742,45.195
743,44.92
744,44.835
745,44.82
746,44.9
747,44.945
748,44.975
749,45.185
750,45.955
751,50.39
752,52.195
753,50.835
754,48.945
755,46.905
756,46.73
757,47.845
758,48.78
759,47.82
760,47.995
761,49.325
762,49.115
763,47.45
764,46.965
765,47.14
766,46.73
767,46.415
768,46.36
769,46.295
770,46.305
771,46.38
772,46.43
773,46.595
774,47.36
775,51.595
776,53.525
777,52.735
778,48.69
779,48.165
780,48.395
781,48.705
782,48.665
783,48.755
784,49.925
785,50.765
786,49.835
787,48.39
788,48.49
789,48.355
790,48.17
791,47.865
792,47.74
793,47.7
794,47.735
795,47.795
796,47.875
797,48.085
798,48.88
799,53.12
800,55.29
801,52.705
802,50.14
803,49.645
804,49.845
805,50.215
806,50.07
807,52.345
808,51.755
809,52.615
810,50.46
811,50.09
812,49.88
813,49.765
814,49.76
815,49.265
816,49.275
817,49.175
818,49.22
819,49.255
820,49.3
821,49.5
822,49.875
823,51.36
824,53.76
825,54.13
826,52.04
827,51.37
828,51.545
829,54.31
830,53.265
831,52.765
832,53.72
833,53.535
834,51.65
835,51.23
836,50.98
837,51.055
838,50.93
839,50.68
840,50.62
841,50.63
842,50.63
843,50.69
844,50.75
845,50.87
846,51.165
847,52.06
848,53.065
849,53.245
850,53.605
851,52.975
852,52.995
853,54.94
854,55.915
855,56.035
856,56.06
857,55.995
858,53.335
859,52.77
860,52.655
861,52.57
862,52.295
863,52.1
864,52.01
865,52.015
866,52.08
867,52.105
868,52.185
869,52.335
870,53.44
871,57.9
872,59.595
873,57.535
874,54.535
875,53.865
876,54.18
877,54.49
878,54.345
879,54.465
880,56.03
881,55.835
882,54.495
883,54.365
884,54.08
885,54.09
886,53.775
887,53.525
888,53.545
889,53.505
890,53.51
891,53.595
892,53.63
893,53.79
894,54.53
895,59.18
896,61.475
897,59.04
898,55.84
899,55.35
900,55.675
901,56.125
902,55.87
903,55.785
904,56.18
905,57.175
906,56.12
907,55.59
908,55.835
909,55.695
910,55.29
911,55.02
912,54.995
913,54.96
914,55.05
915,55.14
916,55.065
917,55.245
918,55.965
919,59.93
920,62.51
921,60.455
922,57.295
923,56.915
924,56.865
925,57.35
926,57.26
927,57.31
928,58.515
929,60.11
930,57.96
931,57.095
932,57.195
933,56.99
934,56.935
935,56.515
936,56.5
937,56.42
938,56.395
939,56.46
940,56.545
941,56.74
942,57.595
943,61.765
944,63.575
945,62.62
946,59.54
947,58.38
948,58.51
949,60.195
950,58.81
951,60.245
952,60.565
953,61.165
954,59.46
955,58.475
956,58.605
957,58.68
958,58.32
959,57.915
960,57.905
961,57.79
962,57.805
963,57.925
964,57.93
