Num,Value
0,1.955
1,1.055
2,0.89
3,0.995
4,1.735
5,3.37
6,6.875
7,9.805
8,11.905
9,13.765
10,12.98
11,10.59
12,10.185
13,11.555
14,11.005
15,8.545
16,11.805
17,11.24
18,8.795
19,8.445
20,7.89
21,6.71
22,5.29
23,4.405
24,3.065
25,2.655
26,2.425
27,2.42
28,3.145
29,4.525
30,8.635
31,9.775
32,8.755
33,12.225
34,11.54
35,9.7
36,10.68
37,13.975
38,13.98
39,12.85
40,13.8
41,14.02
42,11.8
43,10.9
44,9.43
45,8.115
46,6.835
47,5.715
48,4.775
49,3.965
50,3.915
51,3.85
52,4.63
53,6.255
54,10.14
55,14.13
56,16.145
57,17.56
58,16.44
59,14.28
60,13.915
61,14.85
62,16.155
63,15.71
64,14.965
65,17.05
66,13.37
67,11.72
68,10.535
69,11.005
70,8.32
71,7.26
72,6.305
73,5.745
74,5.3
75,5.435
76,6.21
77,7.86
78,12.23
79,16.585
80,17.88
81,17.165
82,17.535
83,16.13
84,13.87
85,18.195
86,18.945
87,18.25
88,17.815
89,18.81
90,17.095
91,16.445
92,13.115
93,10.95
94,9.735
95,8.465
96,7.72
97,6.945
98,6.63
99,6.715
100,7.53
101,9.435
102,13.205
103,21.005
104,18.97
105,17.98
106,17.35
107,15.12
108,17.865
109,17.755
110,16.615
111,17.845
112,17.27
113,18.38
114,19.165
115,15.24
116,14.16
117,12.11
118,10.615
119,9.745
120,8.875
121,8.58
122,8.105
123,8.13
124,9.145
125,10.815
126,17.85
127,22.84
128,20.795
129,22.17
130,21.32
131,18.52
132,19.58
133,21.945
134,21.205
135,21.13
136,21.67
137,22.925
138,18.755
139,16.255
140,14.895
141,13.98
142,12.565
143,11.25
144,10.45
145,9.955
146,9.57
147,9.695
148,10.495
149,12.375
150,18.955
151,23.58
152,22.76
153,22.42
154,21.1
155,20.115
156,20.26
157,23.575
158,20.13
159,21.075
160,24.39
161,24.63
162,19.32
163,18.115
164,17.405
165,16.03
166,14.775
167,13.105
168,12.25
169,11.77
170,11.19
171,11.21
172,12.01
173,13.605
174,17.475
175,21.345
176,22.84
177,24.84
178,24.61
179,22.87
180,22.855
181,24.42
182,23.895
183,23.94
184,23.805
185,23.345
186,21.365
187,20.135
188,19.85
189,17.705
190,15.74
191,14.255
192,13.34
193,12.675
194,12.45
195,12.62
196,13.4
197,15.28
198,23.46
199,25.805
200,25.235
201,24.32
202,25.185
203,23.6
204,24.48
205,26.03
206,24.86
207,25.455
208,25.345
209,27.04
210,24.32
211,20.34
212,19.625
213,18.7
214,16.79
215,15.465
216,14.61
217,13.955
218,13.88
219,13.96
220,14.945
221,16.975
222,24.395
223,27.825
224,27.55
225,27.29
226,25.1
227,25.405
228,25.23
229,27.26
230,26.345
231,26.36
232,27.165
233,28.105
234,24.82
235,20.635
236,20.915
237,20.11
238,18.2
239,17.42
240,16.125
241,15.6
242,15.31
243,15.54
244,16.3
245,18.085
246,25.015
247,29.6
248,28.975
249,28.255
250,27.77
251,26.135
252,26.815
253,29.11
254,27.365
255,26.855
256,29.075
257,30.095
258,26.5
259,23.585
260,22.185
261,21.075
262,19.95
263,18.58
264,17.68
265,17.07
266,16.76
267,16.87
268,17.66
269,19.71
270,27.455
271,29.43
272,30.415
273,28.92
274,29.385
275,27.115
276,19.74
277,16.655
278,16.715
279,22.465
280,30.21
281,31.53
282,27.865
283,25.025
284,23.97
285,23.12
286,21.545
287,20.105
288,19.12
289,18.6
290,18.33
291,18.265
292,19.42
293,21.02
294,28.895
295,32.06
296,31.7
297,31.65
298,30.515
299,29.72
300,30.545
301,31.705
302,31.225
303,32.13
304,30.88
305,33.09
306,30.77
307,27.9
308,26.025
309,25.09
310,22.98
311,22.52
312,21.33
313,20.285
314,19.875
315,20.035
316,20.705
317,22.43
318,27.775
319,31.775
320,33.08
321,31.595
322,30.58
323,30.825
324,32.54
325,32.61
326,31.755
327,32.195
328,32.91
329,33.025
330,30.225
331,28.09
332,27.725
333,26.48
334,24.395
335,23.475
336,22.83
337,21.87
338,21.52
339,21.42
340,22.035
341,23.59
342,27.66
343,32.57
344,33.855
345,34.43
346,33.71
347,32.18
348,32.995
349,34.455
350,33.295
351,34.565
352,33.66
353,34.225
354,31.82
355,31.45
356,31.455
357,28.255
358,26.06
359,24.39
360,23.415
361,22.765
362,22.555
363,22.725
364,23.5
365,25.675
366,33.495
367,36.855
368,36.025
369,35.655
370,35.275
371,33.24
372,34.275
373,35.765
374,35.135
375,35.245
376,35.64
377,37.155
378,33.595
379,31.115
380,29.58
381,28.135
382,27.06
383,25.57
384,24.825
385,24.21
386,23.91
387,24.07
388,25.05
389,27.14
390,34.49
391,38.125
392,36.995
393,37.63
394,37.115
395,34.645
396,35.805
397,38.105
398,35.71
399,37.055
400,37.76
401,38.195
402,35.595
403,31.695
404,30.995
405,29.98
406,28.62
407,27.255
408,26.265
409,25.615
410,25.365
411,25.525
412,26.55
413,28.43
414,36.475
415,39.88
416,37.97
417,38.025
418,36.74
419,34.99
420,35.66
421,39.055
422,37.895
423,38.32
424,39.23
425,39.775
426,36.44
427,33.655
428,32.75
429,31.525
430,29.96
431,29.495
432,28.655
433,27.75
434,27.385
435,27.255
436,28.22
437,29.9
438,37.41
439,42.78
440,40.055
441,39.095
442,38.755
443,37.825
444,38.25
445,40.555
446,39.02
447,38.41
448,27.375
449,26.975
450,27.035
451,27.095
452,27.155
453,27.215
454,27.275
455,27.335
456,29.115
457,27.455
458,27.515
459,27.575
460,27.635
461,27.695
462,27.755
463,27.815
464,27.875
465,27.935
466,27.995
467,28.055
468,28.115
469,28.175
470,28.235
471,28.295
472,28.355
473,28.415
474,28.475
475,28.535
476,28.595
477,28.655
478,28.715
479,28.775
480,30.715
481,30.28
482,30.0
483,29.98
484,30.7
485,32.475
486,37.49
487,42.22
488,43.465
489,41.335
490,42.555
491,42.065
492,41.07
493,41.79
494,42.315
495,42.1
496,43.35
497,43.505
498,40.2
499,38.425
500,38.29
501,36.215
502,34.72
503,33.02
504,32.475
505,31.72
506,31.25
507,31.41
508,32.07
509,33.79
510,37.465
511,42.46
512,44.535
513,44.31
514,43.31
515,42.275
516,43.21
517,43.17
518,43.41
519,44.64
520,44.295
521,43.64
522,41.75
523,41.335
524,40.065
525,37.895
526,35.935
527,35.705
528,34.315
529,33.46
530,33.005
531,32.975
532,34.34
533,35.94
534,44.01
535,45.975
536,46.105
537,45.75
538,45.245
539,43.485
540,44.585
541,45.79
542,45.46
543,45.315
544,46.855
545,47.51
546,43.985
547,40.57
548,39.47
549,38.445
550,36.955
551,35.67
552,35.04
553,34.375
554,34.145
555,34.135
556,35.12
557,36.95
558,44.39
559,49.64
560,47.1
561,46.715
562,46.47
563,44.91
564,46.005
565,47.035
566,47.265
567,46.935
568,48.475
569,48.85
570,45.57
571,42.21
572,41.275
573,40.4
574,38.18
575,37.685
576,36.595
577,36.055
578,35.705
579,35.72
580,36.765
581,38.805
582,46.145
583,49.91
584,49.485
585,48.19
586,47.35
587,46.87
588,47.125
589,49.39
590,48.945
591,48.85
592,49.615
593,50.625
594,46.075
595,43.605
596,42.935
597,41.43
598,39.82
599,38.735
600,37.86
601,37.31
602,36.965
603,37.13
604,37.96
605,39.73
606,47.18
607,51.13
608,48.195
609,47.425
610,48.76
611,48.445
612,48.66
613,50.565
614,45.205
615,49.37
616,51.06
617,51.375
618,49.575
619,46.635
620,43.665
621,42.785
622,41.24
623,39.89
624,39.15
625,38.68
626,38.415
627,38.4
628,39.27
629,41.1
630,48.57
631,52.315
632,51.97
633,50.41
634,50.01
635,50.3
636,47.845
637,52.9
638,51.97
639,52.075
640,53.7
641,53.105
642,49.78
643,47.46
644,46.595
645,44.755
646,43.335
647,41.755
648,41.05
649,40.33
650,40.045
651,40.05
652,40.94
653,42.54
654,46.645
655,51.61
656,53.175
657,53.6
658,51.745
659,51.73
660,52.24
661,53.275
662,52.585
663,52.115
664,53.05
665,54.16
666,50.375
667,48.475
668,48.02
669,46.215
670,44.33
671,42.925
672,42.345
673,41.705
674,41.255
675,41.355
676,42.075
677,43.345
678,46.645
679,50.22
680,52.26
681,51.785
682,52.18
683,50.79
684,51.48
685,52.27
686,51.09
687,52.83
688,51.985
689,52.19
690,50.13
691,49.795
692,48.875
693,47.08
694,45.2
695,43.96
696,43.315
697,42.67
698,42.55
699,42.655
700,43.405
701,45.32
702,51.895
703,55.405
704,53.79
705,53.66
706,54.02
707,52.645
708,53.14
709,54.58
710,53.22
711,53.915
712,55.205
713,55.5
714,52.23
715,49.875
716,48.92
717,48.0
718,46.32
719,45.58
720,44.85
721,44.285
722,44.095
723,44.125
724,44.93
725,46.685
726,52.98
727,56.375
728,55.59
729,55.435
730,54.865
731,53.67
732,54.925
733,55.835
734,55.35
735,55.12
736,55.84
737,57.465
738,53.925
739,51.37
740,50.27
741,49.385
742,48.16
743,46.855
744,46.275
745,45.66
746,45.39
747,45.605
748,46.265
749,48.2
750,54.32
751,57.955
752,56.49
753,55.045
754,55.88
755,55.125
756,56.075
757,56.585
758,55.155
759,56.66
760,57.03
761,59.34
762,55.685
763,52.89
764,51.585
765,50.305
766,49.35
767,48.325
768,47.52
769,47.095
770,47.03
771,46.96
772,47.715
773,49.225
774,55.855
775,58.725
776,58.185
777,57.97
778,57.115
779,56.82
780,57.68
781,58.025
782,57.755
783,58.055
784,59.18
785,59.925
786,56.565
787,54.24
788,53.29
789,52.485
790,50.79
791,49.89
792,49.25
793,48.64
794,48.405
795,48.52
796,49.305
797,50.73
798,57.09
799,60.725
800,59.51
801,59.1
802,59.4
803,58.65
804,59.69
805,60.675
806,60.015
807,60.49
