Num,Value
0,0.745
1,0.645
2,0.49
3,0.665
4,1.28
5,2.53
6,3.815
7,5.785
8,7.295
9,8.21
10,7.645
11,6.4
12,6.66
13,7.805
14,7.305
15,7.065
16,7.05
17,6.46
18,5.905
19,5.31
20,5.385
21,4.505
22,3.55
23,2.88
24,2.355
25,2.22
26,2.02
27,2.145
28,2.975
29,4.31
30,5.055
31,7.455
32,8.015
33,9.11
34,9.08
35,7.73
36,8.32
37,9.475
38,9.135
39,8.425
40,8.675
41,8.21
42,7.51
43,6.905
44,6.695
45,6.09
46,5.11
47,4.42
48,3.95
49,3.655
50,3.48
51,3.565
52,4.24
53,5.415
54,7.175
55,9.795
56,10.365
57,11.59
58,10.995
59,9.77
60,10.765
61,10.98
62,11.02
63,10.215
64,10.495
65,10.28
66,7.88
67,8.41
68,7.915
69,7.215
70,6.255
71,5.57
72,5.345
73,4.895
74,4.91
75,5.045
76,5.9
77,7.41
78,8.535
79,11.085
80,12.615
81,12.76
82,12.415
83,11.56
84,12.485
85,13.5
86,13.32
87,12.55
88,12.35
89,11.7
90,10.75
91,10.175
92,9.515
93,8.925
94,7.96
95,7.365
96,6.69
97,6.29
98,6.32
99,6.475
100,7.39
101,9.285
102,12.465
103,11.565
104,12.785
105,13.15
106,12.775
107,12.07
108,12.895
109,13.855
110,13.5
111,13.285
112,13.09
113,13.235
114,11.715
115,11.07
116,10.84
117,10.055
118,9.33
119,8.62
120,8.035
121,7.89
122,7.685
123,7.895
124,8.57
125,10.07
126,13.53
127,14.98
128,15.16
129,14.83
130,14.465
131,13.77
132,13.63
133,15.765
134,15.42
135,15.205
136,14.895
137,14.665
138,13.705
139,12.685
140,11.95
141,11.36
142,10.645
143,10.075
144,9.63
145,9.26
146,9.235
147,9.21
148,9.96
149,11.3
150,14.45
151,16.055
152,14.765
153,16.145
154,15.9
155,14.04
156,16.04
157,17.5
158,16.93
159,17.13
160,17.145
161,17.19
162,15.21
163,13.93
164,13.45
165,13.28
166,12.345
167,11.67
168,11.21
169,10.98
170,10.795
171,10.73
172,11.415
173,12.41
174,13.845
175,14.48
176,16.73
177,18.975
178,18.455
179,17.55
180,17.79
181,19.22
182,18.325
183,18.34
184,18.31
185,17.975
186,16.06
187,15.855
188,15.58
189,14.515
190,13.52
191,12.94
192,12.425
193,12.03
194,12.015
195,12.24
196,12.855
197,14.28
198,18.625
199,16.37
200,16.34
201,16.31
202,18.855
203,17.945
204,18.755
205,20.425
206,19.765
207,19.675
208,19.085
209,18.955
210,17.695
211,16.72
212,16.175
213,15.695
214,14.995
215,14.245
216,13.775
217,13.545
218,13.495
219,13.6
220,14.26
221,15.79
222,19.51
223,19.5
224,20.765
225,20.555
226,20.495
227,17.48
228,15.74
229,19.57
230,21.035
231,20.925
232,21.05
233,20.83
234,19.29
235,18.35
236,17.515
237,17.03
238,16.26
239,15.815
240,15.33
241,15.06
242,14.92
243,15.07
244,15.79
245,17.29
246,20.885
247,21.985
248,22.145
249,22.48
250,21.535
251,21.01
252,21.89
253,23.41
254,22.46
255,22.355
256,22.64
257,21.885
258,20.68
259,19.455
260,19.035
261,18.315
262,17.7
263,17.07
264,16.76
265,16.44
266,16.355
267,16.525
268,17.275
269,18.545
270,22.795
271,23.1
272,23.285
273,23.925
274,21.275
275,21.21
276,22.105
277,20.125
278,22.465
279,21.43
280,24.09
281,23.745
282,21.97
283,20.94
284,20.21
285,19.925
286,19.415
287,18.645
288,18.16
289,17.945
290,17.875
291,17.935
292,18.64
293,20.045
294,24.04
295,25.32
296,24.925
297,24.69
298,24.455
299,24.275
300,24.84
301,26.37
302,25.735
303,25.605
304,24.98
305,24.345
306,24.1
307,22.935
308,22.195
309,21.66
310,20.915
311,20.38
312,19.875
313,19.535
314,19.31
315,19.485
316,20.15
317,21.32
318,23.445
319,27.29
320,27.095
321,27.015
322,25.91
323,25.71
324,26.685
325,27.515
326,26.66
327,26.615
328,26.285
329,26.455
330,25.12
331,24.345
332,23.95
333,23.24
334,22.345
335,21.705
336,21.34
337,20.91
338,20.695
339,20.865
340,21.52
341,22.66
342,24.75
343,27.435
344,27.4
345,28.755
346,27.925
347,27.26
348,27.745
349,29.29
350,27.665
351,27.91
352,28.425
353,27.655
354,26.31
355,26.28
356,25.96
357,24.755
358,23.565
359,22.63
360,22.5
361,22.2
362,22.125
363,22.23
364,23.055
365,24.39
366,28.555
367,28.36
368,28.66
369,28.55
370,28.505
371,27.93
372,28.16
373,30.34
374,29.205
375,29.14
376,29.45
377,29.07
378,27.465
379,26.355
380,26.155
381,25.62
382,24.79
383,24.305
384,23.97
385,23.725
386,23.525
387,23.665
388,24.3
389,26.085
390,29.71
391,30.02
392,30.645
393,30.925
394,30.445
395,29.56
396,30.405
397,29.42
398,23.915
399,23.975
400,24.035
401,24.095
402,24.155
403,24.215
404,24.275
405,24.335
406,24.395
407,24.455
408,24.515
409,24.575
410,24.635
411,24.695
412,24.755
413,24.815
414,24.875
415,24.935
416,24.995
417,25.055
418,25.115
419,25.175
420,25.235
421,25.295
422,25.355
423,25.415
424,25.475
425,25.535
426,25.595
427,25.655
428,25.715
429,25.775
430,25.835
431,25.895
432,25.955
433,26.015
434,26.075
435,26.42
436,27.29
437,28.68
438,32.485
439,33.865
440,33.805
441,33.51
442,33.285
443,31.61
444,32.6
445,34.745
446,33.995
447,32.75
448,27.205
449,26.975
450,27.035
451,27.095
452,27.155
453,27.215
454,27.275
455,27.335
456,27.995
457,27.455
458,27.515
459,27.575
460,27.635
461,27.695
462,27.755
463,27.815
464,27.875
465,27.935
466,27.995
467,28.055
468,28.115
469,28.175
470,28.235
471,28.295
472,28.355
473,28.415
474,28.475
475,28.535
476,28.595
477,28.655
478,28.715
479,28.775
480,29.63
481,29.535
482,29.415
483,29.535
484,30.13
485,31.435
486,33.475
487,37.11
488,37.915
489,36.12
490,34.055
491,35.11
492,36.88
493,37.66
494,33.11
495,37.0
496,37.0
497,36.86
498,34.95
499,34.22
500,34.02
501,33.135
502,32.525
503,31.76
504,31.32
505,31.035
506,30.81
507,30.915
508,31.525
509,32.835
510,34.405
511,37.355
512,38.67
513,39.03
514,38.2
515,37.565
516,38.22
517,38.955
518,38.585
519,38.25
520,38.3
521,38.19
522,36.635
523,36.325
524,35.6
525,34.37
526,33.415
527,33.075
528,32.585
529,32.28
530,32.185
531,32.29
532,33.135
533,34.405
534,38.425
535,38.1
536,38.095
537,39.235
538,38.515
539,33.945
540,32.435
541,32.495
542,32.555
543,32.615
544,33.69
545,36.78
546,37.88
547,36.71
548,36.05
549,35.625
550,34.825
551,34.565
552,33.82
553,33.745
554,33.655
555,33.335
556,34.33
557,35.82
558,36.65
559,33.575
560,33.635
561,33.695
562,33.755
563,35.895
564,40.82
565,41.745
566,40.99
567,41.09
568,41.395
569,40.975
570,39.075
571,38.17
572,37.61
573,36.855
574,36.4
575,35.8
576,35.535
577,35.19
578,35.08
579,35.21
580,35.93
581,37.425
582,41.19
583,42.4
584,42.08
585,42.68
586,42.71
587,41.67
588,42.195
589,43.77
590,42.94
591,43.2
592,42.495
593,42.14
594,40.895
595,39.535
596,39.02
597,38.605
598,37.84
599,37.26
600,36.985
601,36.675
602,36.545
603,36.71
604,37.39
605,38.695
606,42.625
607,43.175
608,40.175
609,40.5
610,41.62
611,42.475
612,43.175
613,44.645
614,43.975
615,43.975
616,44.27
617,40.195
618,42.34
619,41.535
620,41.14
621,40.755
622,39.66
623,38.94
624,38.515
625,38.285
626,38.05
627,38.275
628,39.07
629,40.86
630,44.395
631,44.825
632,44.075
633,45.265
634,44.87
635,44.675
636,44.575
637,38.255
638,38.315
639,38.375
640,38.435
641,38.495
642,38.555
643,38.615
644,38.675
645,40.055
646,40.995
647,40.365
648,39.935
649,39.695
650,39.39
651,39.59
652,40.3
653,41.545
654,43.57
655,46.69
656,47.915
657,47.435
658,46.495
659,46.99
660,47.59
661,48.35
662,47.79
663,46.81
664,47.095
665,46.905
666,45.065
667,44.29
668,44.065
669,43.375
670,42.52
671,41.745
672,41.445
673,40.975
674,41.015
675,41.15
676,41.68
677,43.165
678,44.065
679,45.95
680,46.69
681,47.025
682,47.325
683,46.82
684,47.485
685,48.265
686,47.67
687,46.135
688,47.64
689,47.155
690,46.075
691,45.755
692,45.33
693,44.335
694,43.47
695,42.805
696,42.445
697,42.2
698,42.24
699,42.315
700,43.085
701,44.245
702,47.545
703,46.47
704,46.85
705,47.685
706,48.365
707,47.745
708,45.97
709,42.575
710,42.635
711,42.695
712,44.99
713,48.14
714,47.115
715,46.64
716,46.025
717,45.375
718,44.585
719,44.4
720,44.05
721,43.71
722,43.675
723,43.815
724,44.435
725,45.74
726,48.5
727,50.055
728,49.95
729,48.065
730,43.835
731,43.895
732,43.955
733,44.015
734,46.3
735,48.96
736,47.635
737,50.13
738,49.015
739,45.685
740,47.415
741,47.045
742,46.345
743,45.71
744,45.475
745,45.265
746,45.14
747,45.17
748,45.77
749,47.06
750,49.785
751,50.935
752,50.22
753,49.435
754,49.52
755,50.375
756,51.195
757,51.645
758,50.9
759,51.435
760,51.575
761,51.715
762,50.39
763,50.575
764,49.37
765,48.69
766,47.805
767,47.49
768,46.9
769,46.62
770,46.565
771,46.67
772,47.41
773,48.815
774,51.995
775,51.62
