Num,Value
0,0.34
1,0.375
2,0.26
3,0.285
4,0.4
5,0.48
6,0.735
7,0.905
8,1.15
9,1.255
10,1.51
11,1.4
12,1.695
13,1.83
14,1.815
15,1.945
16,2.18
17,2.06
18,2.155
19,2.115
20,2.265
21,2.16
22,2.28
23,1.83
24,1.825
25,1.73
26,1.725
27,1.75
28,1.805
29,1.96
30,2.2
31,2.37
32,2.58
33,2.825
34,2.905
35,2.97
36,3.25
37,3.335
38,3.45
39,3.5
40,3.375
41,3.38
42,3.475
43,3.595
44,3.55
45,3.66
46,3.6
47,3.33
48,3.205
49,3.17
50,3.155
51,3.205
52,3.305
53,3.49
54,3.65
55,3.87
56,3.91
57,4.215
58,4.315
59,4.49
60,4.745
61,4.715
62,4.755
63,4.855
64,4.775
65,4.575
66,4.895
67,4.91
68,5.165
69,5.18
70,5.005
71,4.805
72,4.685
73,4.715
74,4.635
75,4.65
76,4.7
77,5.035
78,5.22
79,5.225
80,5.465
81,5.565
82,5.69
83,5.795
84,5.795
85,6.165
86,6.19
87,6.125
88,6.135
89,6.375
90,6.2
91,6.365
92,6.375
93,6.43
94,6.21
95,6.11
96,6.055
97,6.02
98,5.985
99,6.04
100,6.09
101,6.265
102,6.62
103,7.01
104,7.325
105,7.185
106,7.225
107,7.13
108,7.475
109,7.38
110,7.365
111,7.53
112,7.65
113,7.415
114,7.37
115,7.435
116,7.825
117,7.815
118,7.555
119,7.535
120,7.475
121,7.44
122,7.505
123,7.46
124,7.535
125,7.67
126,7.98
127,8.345
128,8.78
129,8.695
130,8.715
131,8.615
132,8.78
133,8.845
134,8.935
135,9.125
136,8.945
137,8.93
138,8.865
139,9.005
140,9.245
141,9.28
142,9.295
143,9.055
144,8.925
145,8.96
146,8.905
147,8.92
148,9.015
149,9.1
150,9.385
151,9.9
152,10.25
153,10.21
154,10.075
155,10.19
156,10.165
157,10.365
158,10.525
159,10.46
160,10.405
161,10.21
162,10.24
163,10.37
164,10.54
165,10.92
166,10.95
167,10.635
168,10.485
169,10.49
170,10.45
171,10.405
172,10.435
173,10.59
174,10.75
175,10.94
176,11.085
177,11.405
178,11.415
179,11.385
180,11.64
181,11.835
182,11.95
183,11.805
184,11.855
185,11.96
186,11.98
187,11.89
188,12.36
189,12.245
190,12.16
191,12.04
192,11.845
193,11.79
194,11.815
195,11.815
196,11.85
197,12.005
198,12.46
199,12.825
200,13.16
201,13.145
202,12.94
203,13.075
204,13.155
205,13.255
206,13.41
207,13.41
208,13.415
209,13.18
210,13.135
211,13.255
212,13.21
213,13.82
214,13.555
215,13.42
216,13.31
217,13.245
218,13.245
219,13.295
220,13.31
221,13.475
222,13.765
223,14.175
224,14.51
225,14.46
226,14.515
227,14.485
228,14.615
229,14.645
230,14.83
231,14.265
232,14.71
233,14.685
234,14.615
235,14.775
236,15.02
237,15.395
238,15.085
239,14.955
240,14.78
241,14.685
242,14.63
243,14.7
244,14.75
