Num,Value
0,4.44
1,3.48
2,2.63
3,2.255
4,2.21
5,3.525
6,6.47
7,12.68
8,16.74
9,20.325
10,21.44
11,19.44
12,18.825
13,21.305
14,23.67
15,24.1
16,27.345
17,26.66
18,21.555
19,18.135
20,18.54
21,17.17
22,13.285
23,9.34
24,6.59
25,4.75
26,4.205
27,3.66
28,3.86
29,4.47
30,7.815
31,15.165
32,18.685
33,21.575
34,22.93
35,22.69
36,19.86
37,24.105
38,25.825
39,24.01
40,26.735
41,28.495
42,25.47
43,21.36
44,20.075
45,20.595
46,15.175
47,11.495
48,8.48
49,7.01
50,6.05
51,5.08
52,5.375
53,6.105
54,9.605
55,19.46
56,21.345
57,25.535
58,27.03
59,25.32
60,25.05
61,26.28
62,28.515
63,28.36
64,28.195
65,26.095
66,27.625
67,23.025
68,23.07
69,20.925
70,16.38
71,12.93
72,9.985
73,8.28
74,7.725
75,6.98
76,7.0
77,7.56
78,11.28
79,22.235
80,24.32
81,26.845
82,28.7
83,27.425
84,29.855
85,31.27
86,31.22
87,27.355
88,29.705
89,28.285
90,30.68
91,26.98
92,24.27
93,21.47
94,17.915
95,14.715
96,11.59
97,9.65
98,8.34
99,8.115
100,7.94
101,9.315
102,17.15
103,35.04
104,33.165
105,29.705
106,28.385
107,27.86
108,28.235
109,29.885
110,30.3
111,31.385
112,31.33
113,28.405
114,30.335
115,28.755
116,22.265
117,23.185
118,19.275
119,15.22
120,12.995
121,11.09
122,9.83
123,9.435
124,9.62
125,10.5
126,18.22
127,34.915
128,29.395
129,35.14
130,31.465
131,31.03
132,31.33
133,32.225
134,33.06
135,34.79
136,35.505
137,33.725
138,32.905
139,27.59
140,30.68
141,25.775
142,21.17
143,16.795
144,14.31
145,12.5
146,11.23
147,10.85
148,11.26
149,11.755
150,18.01
151,34.825
152,36.865
153,34.065
154,32.975
155,32.13
156,31.015
157,33.515
158,35.405
159,36.02
160,36.51
161,33.305
162,32.255
163,29.39
164,27.725
165,29.18
166,23.835
167,19.125
168,16.505
169,15.07
170,13.65
171,12.805
172,12.965
173,13.53
174,17.26
175,24.435
176,29.875
177,33.55
178,34.375
179,33.13
180,34.11
181,35.615
182,37.015
183,36.53
184,37.415
185,38.09
186,35.915
187,30.195
188,31.185
189,28.755
190,24.08
191,18.98
192,16.675
193,15.2
194,14.16
195,13.435
196,13.805
197,14.89
198,25.09
199,39.48
200,36.66
201,37.675
202,36.255
203,35.21
204,34.605
205,37.46
206,38.155
207,38.055
208,37.91
209,34.595
210,36.255
211,35.25
212,33.035
213,30.015
214,24.9
215,20.67
216,18.41
217,16.745
218,15.43
219,15.11
220,15.24
221,16.355
222,24.59
223,41.24
224,38.065
225,36.66
226,33.86
227,39.12
228,36.78
229,38.88
230,40.23
231,40.83
232,40.76
233,39.555
234,37.415
235,33.845
236,33.36
237,32.135
238,26.09
239,22.105
240,19.74
241,18.325
242,17.05
243,16.675
244,16.835
245,17.71
246,25.295
247,43.815
248,39.69
249,40.51
250,39.205
251,38.245
252,38.015
253,40.28
254,41.785
255,41.92
256,42.73
257,41.13
258,39.745
259,36.8
260,34.995
261,32.255
262,28.935
263,23.88
264,21.045
265,19.625
266,18.4
267,18.375
268,18.415
269,19.21
270,26.945
271,44.795
272,42.02
273,42.225
274,40.175
275,39.465
276,39.04
277,41.85
278,43.5
279,41.89
280,42.315
281,43.675
282,41.475
283,37.945
284,37.98
285,36.2
286,30.915
287,25.675
288,23.635
289,21.495
290,20.48
291,19.52
292,19.895
293,20.66
294,28.5
295,46.515
296,44.075
297,41.685
298,42.635
299,41.995
300,42.675
301,43.05
302,44.41
303,44.75
304,42.075
305,41.41
306,42.135
307,37.92
308,41.09
309,39.155
310,34.485
311,29.185
312,26.305
313,23.4
314,22.32
315,21.41
316,21.63
317,22.345
