Num,Value
0,0.45
1,0.47
2,0.45
3,0.4
4,0.445
5,0.53
6,0.96
7,1.6
8,2.18
9,2.465
10,2.345
11,2.25
12,2.215
13,1.74
14,1.755
15,1.82
16,1.99
17,2.015
18,2.2
19,2.38
20,2.58
21,2.495
22,2.065
23,1.81
24,1.855
25,1.845
26,1.82
27,1.845
28,1.86
29,1.92
30,2.495
31,3.22
32,3.43
33,3.875
34,3.82
35,3.55
36,3.565
37,3.725
38,3.665
39,3.75
40,3.83
41,4.095
42,4.25
43,4.055
44,4.155
45,3.845
46,3.385
47,3.365
48,3.275
49,3.32
50,3.315
51,3.32
52,3.315
53,3.375
54,3.83
55,4.575
56,5.12
57,5.115
58,5.275
59,5.335
60,5.545
61,5.445
62,5.26
63,5.29
64,5.37
65,5.475
66,5.49
67,5.41
68,5.375
69,5.245
70,4.91
71,4.975
72,4.83
73,4.86
74,4.79
75,4.735
76,4.78
77,4.785
78,5.235
79,6.305
80,6.75
81,6.83
82,6.89
83,6.49
84,6.76
85,6.465
86,6.185
87,6.16
88,6.32
89,6.335
90,6.58
91,6.745
92,6.855
93,6.63
94,6.3
95,6.265
96,6.23
97,6.155
98,6.16
99,6.16
100,6.165
101,6.295
102,7.285
103,9.37
104,9.26
105,8.58
106,8.025
107,8.095
108,7.535
109,8.075
110,8.08
111,8.085
112,8.315
113,8.475
114,8.6
115,8.445
116,8.405
117,8.23
118,7.84
119,7.68
120,7.68
121,7.57
122,7.58
123,7.545
124,7.63
125,7.715
126,8.72
127,10.55
128,10.515
129,10.135
130,9.44
131,9.79
132,9.745
133,10.0
134,9.95
135,10.405
136,10.18
137,10.47
138,9.97
139,9.95
140,9.61
141,9.67
142,9.505
143,9.33
144,9.175
145,9.11
146,9.035
147,9.05
148,9.045
149,9.16
150,9.975
151,11.885
152,11.25
153,10.87
154,10.95
155,11.1
156,11.305
157,11.44
158,11.49
159,11.17
160,11.15
161,10.765
162,11.0
163,11.045
164,11.27
165,11.405
166,11.035
167,10.855
168,10.625
169,10.675
170,10.63
171,10.545
172,10.5
173,10.595
174,10.955
175,11.785
176,12.23
177,12.03
178,11.695
179,12.18
180,12.895
181,12.9
182,12.375
183,12.415
184,11.995
185,12.13
186,12.185
187,12.68
188,12.535
189,12.36
190,12.125
191,12.145
192,12.07
193,11.925
194,11.89
195,11.905
196,11.915
197,12.07
198,13.315
199,15.04
200,14.925
201,14.335
202,13.9
203,14.21
204,14.085
205,14.54
206,13.895
207,13.37
208,13.64
209,14.99
210,13.955
211,14.015
212,14.08
213,14.02
214,13.615
215,13.56
216,13.445
217,13.32
218,13.405
219,13.38
220,13.405
221,13.52
222,14.47
223,16.275
224,16.36
225,15.495
226,15.605
227,15.51
228,15.585
229,15.795
230,15.535
231,15.5
232,15.335
233,16.555
234,16.24
235,15.66
236,15.43
237,15.35
238,15.265
239,14.95
240,14.92
241,14.84
242,14.805
243,14.81
244,14.805
245,14.945
246,16.04
247,17.655
248,17.815
249,17.35
250,16.33
251,16.95
252,16.97
253,17.39
254,17.31
255,16.505
256,16.455
257,17.715
258,16.685
259,16.85
260,17.02
261,16.715
262,16.725
263,16.45
264,16.39
265,16.275
266,16.22
267,16.26
268,16.285
269,16.33
270,17.405
271,19.125
272,19.165
273,18.27
274,18.685
275,18.51
276,18.16
277,18.575
278,17.95
279,18.23
280,18.5
281,18.535
282,18.675
283,18.805
284,18.655
285,18.845
286,18.5
287,17.82
288,17.845
289,17.83
290,17.725
291,17.71
292,17.725
293,17.785
294,18.95
295,20.975
296,21.535
297,20.515
298,20.17
299,20.09
300,20.285
301,20.555
302,20.76
303,20.65
304,20.73
305,20.72
306,21.205
307,20.345
308,20.315
309,19.96
310,19.735
311,19.51
312,19.425
313,19.33
314,19.15
315,19.155
316,19.205
317,19.29
318,19.98
319,21.105
320,21.855
321,21.695
322,21.375
323,21.895
324,21.825
325,21.715
326,21.56
327,21.58
328,21.625
329,21.75
330,21.685
331,21.46
332,21.62
333,21.405
334,21.2
335,20.92
336,20.75
337,20.66
338,20.655
339,20.575
340,20.595
341,20.665
342,21.19
343,22.05
344,23.075
345,23.155
346,22.975
347,22.655
348,23.01
349,22.715
350,22.525
351,22.54
352,22.575
353,22.835
354,23.06
355,22.925
356,23.005
357,23.11
358,22.385
359,22.18
360,22.145
361,22.09
362,21.99
363,22.03
364,22.01
365,22.15
366,23.615
367,25.665
368,25.63
369,24.935
370,23.73
371,24.26
372,24.49
373,24.61
374,25.0
375,24.04
376,24.11
377,24.23
378,24.32
379,24.51
380,24.24
381,24.34
382,23.92
383,23.67
384,23.605
385,23.535
386,23.425
387,23.44
388,23.455
389,23.545
390,24.675
391,27.08
392,26.93
393,26.435
394,25.63
395,25.755
396,25.98
397,25.935
398,26.155
399,26.705
400,26.645
401,27.235
402,26.49
403,25.76
404,25.76
405,25.7
406,25.37
407,25.105
408,25.055
409,24.98
410,24.865
411,24.93
412,24.955
413,24.97
414,26.22
415,28.29
416,28.285
417,27.87
418,26.995
419,27.23
420,27.32
421,27.65
422,27.595
423,26.945
424,26.875
425,27.255
426,27.425
427,27.235
428,27.115
429,27.195
430,26.855
431,26.56
432,26.46
433,26.36
434,26.38
435,26.34
436,26.36
437,26.375
438,27.505
439,29.755
440,30.155
441,29.32
442,28.615
443,28.25
444,28.21
445,28.39
446,28.39
447,28.21
448,26.95
449,26.975
450,27.035
451,27.095
452,27.155
453,27.215
454,27.275
455,27.335
456,27.715
457,27.455
458,27.515
459,27.575
460,27.635
461,27.695
462,27.755
463,27.815
464,27.875
465,27.935
466,27.995
467,28.055
468,28.115
469,28.175
470,28.235
471,28.295
472,28.355
473,28.415
474,28.475
475,28.535
476,28.595
477,28.655
478,28.715
479,28.775
480,29.475
481,29.47
482,29.29
483,29.27
484,29.285
485,29.315
486,29.99
487,31.15
488,31.89
489,31.86
490,30.935
491,31.625
492,31.955
493,32.345
494,32.595
495,31.575
496,31.305
497,31.485
498,31.44
499,31.265
500,31.49
501,31.445
502,31.395
503,30.945
504,30.845
